Name,SiO2,TiO2,Al2O3,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,SO3T,H2O+,CO2,As,B,Ba,Cu,Li,Sr,Zn,Total
NAU2,48.70,0.60,4.53,31.76,0.02,0.77,1.96,0.70,0.08,0.21,0,11.69,0,0,0,46,0,0,134,130,101.02
NAU2-HI-S,30.90,0.39,3.69,17.51,0.03,1.14,16.3,0.67,0.16,0.06,21.07,0,0,1,23107,56,10,7433,144,60,95.05
NAU2-LO-S,43.78,0.78,7.63,20.32,0.07,2.97,8.26,1.44,0.40,0.14,5.33,0,0,1,23107,162,30,7433,236,90,94.39
NAU2-MED-S,37.48,0.57,5.72,18.95,0.05,2.05,12.3,1.11,0.29,0.10,13.54,0,0,1,23107,107,20,7433,185,70,95.32
Norite,47.88,0.70,14.66,17.44,0.001,9.62,12.8,1.53,0.06,0.01,0,0,0,0,11,355,6,44,284,9,104.76
Picrite,43.59,0.44,12.39,22.77,0.003,11.2,8.95,3.07,0.10,0.01,0,0,0,0,12,1283,0,7,1481,0,103.17
SARM51,33.81,0.82,11.87,18.36,0.21,0.92,0.86,0.07,0.33,0.21,0.60,0,97,0,335,268,0,44,2200,69.29
SGR1,28.24,0.26,6.52,3.03,0.03,4.44,8.38,2.99,1.66,0.33,3.82,0,39.58,67,54,290,66,147,420,74,99.71
Shergottite,48.42,0.43,10.83,19.40,0.00,6.39,14.3,1.57,0.11,0.01,0,0,0,0,9,1158,43,8,654,7,101.77
SRM688,48.35,1.17,17.35,10.34,0.17,8.46,12.2,2.16,0.19,0.13,0,0,0,2,1,200,96,0,169,58,100.69
SRM88B,1.13,0.02,0.34,0.28,0.02,21.0,30.0,0.03,0.10,0.004,0,0,46.67,0,0,0,0,0,64,0,99.57
SRM97A,43.67,1.90,38.79,0.45,0,0.15,0.11,0.04,0.50,0.36,0,13.32,0,0,0,670,0,510,1500,0,99.77
SRM98A,48.94,1.61,33.19,1.34,0,0.42,0.31,0.08,1.04,0.11,0,12.44,0,11,0,270,0,325,330,0,99.63
STSD1,42.50,0.75,9,6.50,0.50,2.21,3.60,1.75,1.25,0.38,0.45,0,45.07,23,89,630,36,11,170,178,114.31
STSD3,48.60,0.70,10.90,6.20,0.30,2.20,3.30,1.50,1.80,0.40,0.35,0,30.78,28,82,1490,39,23,230,204,107.46
STSD4,58.90,0.80,12.10,5.70,0.20,2.10,4,2.70,1.60,0.20,0.22,0,15.02,15,46,2000,65,14,350,107,103.97
SWY1,62.90,0.09,19.60,3.71,0.01,3.05,1.68,1.53,0.53,0.05,0.12,0,1.33,0,0,0,0,0,0,0,94.71
Trond,70.87,0.26,17.03,1.37,0.02,0.47,2.99,5.91,1.24,0.05,0,1.11,0,0,0,347,0,0,668,32,101.51
Ultramafic,45.75,0.27,4.04,11.94,0.20,29.2,6.12,0.85,1.06,0.14,0,7.45,0,0,0,434,0,0,283,90,107.50
UMPH,62.19,0.91,17.77,4.06,0.08,0.97,1.88,5.51,6.41,0.26,0,0.63,0,0,0,2980,0,0,382,77,101.20
UNSAK,0.64,0,0.11,0.13,0,0.11,54.9,0.05,0.04,0.03,0.11,0,43,0,0,0,0,0,2800,0,99.88
UNSZK,74.38,0.04,14.19,1.75,0.03,0.07,0.43,4.50,4.06,0,0,0,0,5,0,0,12,279,0,19,99.49
VH1,73.61,0.34,13.68,2.01,0.04,0.36,1.13,3.40,5.60,0.07,0,0.45,0,0,0,277,0,0,50,27,100.80
VH49,47.50,0.82,17.83,9.02,0.15,11.0,10.8,2.55,0.18,0.09,0,1.53,0,0,0,37,0,0,234,57,101.61
VZO106,69.08,0.49,0.57,7.39,0.01,0.02,0.42,2.72,0.73,0.03,12.46,6.02,0,27,0,482,643,0,120,2012,101.09
VZO114,43.65,0.27,3.67,0.19,0.00,0.05,16.2,0.71,0.22,0,23.62,11.22,0,24,0,63,13,0,160,5,99.90
WM,43.29,5.81,12.04,20.24,0.26,4.44,9.01,2.32,0.45,1.36,0,0,0,0,0,351,0,0,400,272,99.46
