198.066,-0.237
198.122,-0.292
198.177,-0.417
198.233,-0.481
198.288,-0.217
198.344,-0.247
198.399,-0.544
198.455,-0.245
198.511,-0.15
198.566,-0.126
198.622,0.046
198.677,-0.026
198.733,-0.467
198.788,-0.273
198.844,-0.149
198.899,-0.214
198.955,-0.381
199.01,-0.345
199.066,-0.259
199.121,-0.365
199.177,-0.476
199.232,-0.311
199.288,-0.16
199.343,-0.055
199.399,0.027
199.454,0.055
199.51,-0.028
199.565,-0.121
199.621,0.167
199.676,0.226
199.732,0.111
199.787,0.223
199.842,0.251
199.898,0.267
199.953,0.161
200.009,0.336
200.064,0.401
200.12,0.65
200.175,0.451
200.23,0.346
200.286,-0.028
200.341,-0.026
200.397,0.221
200.452,0.297
200.507,0.194
200.563,0.292
200.618,0.263
200.674,0.178
200.729,0.261
200.784,0.107
200.84,0.126
200.895,0.39
200.95,0.433
201.006,0.301
201.061,0.338
201.117,0.378
201.172,0.153
201.227,0.115
201.283,0.092
201.338,0.059
201.393,0.363
201.449,0.362
201.504,0.237
201.559,0.109
201.614,0.335
201.67,0.46
201.725,0.352
201.78,0.4
201.836,0.236
201.891,0.199
201.946,0.316
202.002,0.406
202.057,0.486
202.112,0.487
202.167,0.453
202.223,0.513
202.278,0.536
202.333,0.35
202.388,0.307
202.444,0.162
202.499,-0.032
202.554,0.273
202.609,0.085
202.665,0.074
202.72,0.266
202.775,0.234
202.83,0.544
202.885,0.489
202.941,0.16
202.996,0.041
203.051,0.271
203.106,0.398
203.161,0.154
203.217,0.086
203.272,0.322
203.327,0.365
203.382,0.542
203.437,0.549
203.492,0.246
203.548,-0.003
203.603,0.134
203.658,0.597
203.713,0.372
203.768,0.441
203.823,0.573
203.879,0.557
203.934,0.332
203.989,0.172
204.044,0.126
204.099,0.439
204.154,0.355
204.209,0.337
204.264,0.265
204.319,0.107
204.375,0.323
204.43,0.388
204.485,0.544
204.54,0.472
204.595,0.202
204.65,0.389
204.705,0.471
204.76,0.146
204.815,0.408
204.87,0.24
204.925,0.084
204.98,0.251
205.035,-0.156
205.09,0.057
205.145,0.258
205.2,0.241
205.255,0.324
205.31,0.137
205.366,-0.007
205.421,0.128
205.476,0.111
205.531,0.302
205.586,0.328
205.641,0.7
205.696,0.481
205.751,0.263
205.806,0.148
205.86,0.503
205.915,0.3
205.97,0.289
206.025,0.361
206.08,0.34
206.135,0.316
